;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,100000,20.3667,-4.31661
1,100231,-0.230191,-4.71754
2,100462,-0.241176,-4.72418
3,100694,-0.241379,-4.70557
4,100926,-0.24216,-4.73855
5,101159,-0.234719,-4.80075
6,101393,-0.238982,-4.74171
7,101627,-0.240956,-4.79018
8,101861,-0.237909,-4.80497
9,102096,-0.238397,-4.75331
10,102332,-0.236481,-4.76153
11,102568,-0.25045,-4.88892
12,102804,-0.240722,-4.82369
13,103042,-0.233873,-4.81754
14,103279,-0.242899,-4.86899
15,103518,-0.252043,-4.79837
16,103757,-0.249681,-4.86976
17,103996,-0.247845,-4.89248
18,104236,-0.241808,-4.88773
19,104477,-0.23469,-4.89499
20,104718,-0.244557,-4.9514
21,104959,-0.237856,-4.85946
22,105202,-0.242333,-4.91789
23,105444,-0.24692,-4.84847
24,105688,-0.252274,-4.90283
25,105931,-0.235782,-4.97314
26,106176,-0.237828,-5.01063
27,106421,-0.243337,-5.0008
28,106666,-0.259262,-4.94217
29,106913,-0.244798,-4.93308
30,107159,-0.251077,-4.96222
31,107407,-0.252921,-4.99809
32,107654,-0.24692,-5.00081
33,107903,-0.255486,-5.03171
34,108152,-0.245374,-5.00086
35,108401,-0.250277,-5.01263
36,108652,-0.247381,-5.05648
37,108902,-0.08371,-4.69886
38,109154,-0.0912055,-4.71491
39,109405,-0.0798716,-4.72784
40,109658,-0.0814172,-4.74674
41,109911,-0.0850488,-4.76196
42,110165,-0.0843774,-4.80673
43,110419,-0.0787963,-4.80028
44,110674,-0.0912849,-4.77742
45,110929,-0.086854,-4.79214
46,111185,-0.0877454,-4.81613
47,111442,-0.085829,-4.85909
48,111699,-0.0769949,-4.85704
49,111956,-0.0851272,-4.8864
50,112215,-0.0864184,-4.87633
51,112474,-0.0851486,-4.8681
52,112733,-0.0895419,-4.86158
53,112993,-0.0853999,-4.84365
54,113254,-0.0921548,-4.90184
55,113515,-0.0858765,-4.91774
56,113777,-0.087999,-4.92976
57,114040,-0.0922581,-4.91547
58,114303,-0.0807307,-4.91976
59,114567,-0.0899962,-4.94082
60,114831,-0.0868998,-4.97687
61,115096,-0.0860718,-4.96995
62,115362,-0.0864459,-4.96631
63,115628,-0.0862921,-5.06914
64,115895,-0.0897102,-5.04975
65,116162,-0.088658,-5.04482
66,116430,-0.0886876,-5.02885
67,116699,-0.085506,-5.02011
68,116968,-0.0929034,-5.12623
69,117238,-0.0854174,-5.0598
70,117509,-0.0900078,-5.0909
71,117780,-0.0911467,-5.09393
72,118052,-0.0909378,-5.15705
73,118324,-0.0988536,-5.12722
74,118597,-0.095026,-5.14845
75,118871,-0.0923429,-5.1758
76,119145,-0.0934403,-5.16322
77,119420,-0.0951061,-5.14857
78,119696,-0.091823,-5.12937
79,119972,-0.0939424,-5.16311
80,120249,-0.0925091,-5.19046
81,120526,-0.0916568,-5.21732
82,120804,-0.0881183,-5.22746
83,121083,-0.0943625,-5.20586
84,121362,-0.0966425,-5.22475
85,121642,-0.0894882,-5.2609
86,121923,-0.0945548,-5.29749
87,122204,-0.0973809,-5.30877
88,122486,-0.086608,-5.28994
89,122769,-0.101959,-5.34118
90,123052,-0.0948072,-5.3739
91,123336,-0.0946045,-5.33638
92,123621,-0.0963366,-5.35455
93,123906,-0.0892591,-5.37421
94,124192,-0.103885,-5.35637
95,124479,-0.101503,-5.41777
96,124766,-0.0982787,-5.4298
97,125054,-0.0891144,-5.47012
98,125342,-0.0938713,-5.40215
99,125632,-0.0969242,-5.44301
100,125922,-0.0964904,-5.40309
101,126212,-0.0934769,-5.49187
102,126503,-0.0978357,-5.49153
103,126795,-0.0900844,-5.52917
104,127088,-0.0985638,-5.53593
105,127381,-0.0983059,-5.51949
106,127675,-0.0916994,-5.52959
107,127970,-0.0997449,-5.53835
108,128265,-0.0985947,-5.49533
109,128561,-0.093796,-5.56769
110,128858,-0.10014,-5.60308
111,129155,-0.107934,-5.61702
112,129453,-0.10332,-5.60504
113,129752,-0.0983651,-5.62856
114,130051,-0.0977011,-5.69993
115,130351,-0.102461,-5.63636
116,130652,-0.0997191,-5.66156
117,130954,-0.102134,-5.74025
118,131256,-0.102693,-5.66904
119,131559,-0.101773,-5.70866
120,131862,-0.0993475,-5.7772
121,132166,-0.105154,-5.72679
122,132471,-0.112523,-5.7604
123,132777,-0.0952494,-5.75007
124,133083,-0.0999285,-5.76415
125,133391,-0.0959405,-5.84737
126,133698,-0.108731,-5.79458
127,134007,-0.103226,-5.83415
128,134316,-0.114519,-5.81052
129,134626,-0.0993527,-5.88092
130,134937,-0.102153,-5.85179
131,135248,-0.112058,-5.83079
132,135560,-0.10388,-5.84568
133,135873,-0.107167,-5.90645
134,136187,-0.110453,-5.85644
135,136501,-0.0985649,-5.93494
136,136816,-0.103731,-5.93757
137,137131,-0.11129,-5.89822
138,137448,-0.110913,-5.94246
139,137765,-0.105292,-5.98007
140,138083,-0.0970993,-5.96137
141,138402,-0.110159,-5.97638
142,138721,-0.107015,-6.03872
143,139041,-0.0997169,-6.09674
144,139362,-0.114312,-6.07322
145,139684,-0.107421,-6.08106
146,140006,-0.11585,-6.13767
147,140329,-0.102127,-6.09064
148,140653,-0.112249,-6.11553
149,140977,-0.119646,-6.12242
150,141303,-0.111206,-6.19025
151,141629,-0.109956,-6.17592
152,141955,-0.120391,-6.14131
153,142283,-0.115249,-6.21692
154,142611,-0.113976,-6.20208
155,142940,-0.115817,-6.29426
156,143270,-0.104396,-6.26695
157,143601,-0.113677,-6.27022
158,143932,-0.0995719,-6.24007
159,144264,-0.103573,-6.27651
160,144597,-0.117102,-6.28368
161,144931,-0.109289,-6.39852
162,145265,-0.118899,-6.27513
163,145601,-0.119457,-6.33886
164,145937,-0.113723,-6.34839
165,146273,-0.124735,-6.34064
166,146611,-0.116575,-6.42371
167,146949,-0.11245,-6.39433
168,147288,-0.122477,-6.46341
169,147628,-0.117857,-6.46534
170,147969,-0.118593,-6.44129
171,148310,-0.103235,-6.46517
172,148652,-0.114299,-6.52296
173,148996,-0.119005,-6.47952
174,149339,-0.128434,-6.4574
175,149684,-0.124029,-6.54204
176,150029,-0.120376,-6.51705
177,150376,-0.116279,-6.5546
178,150723,-0.10696,-6.57238
179,151070,-0.115223,-6.61883
180,151419,-0.117742,-6.59248
181,151768,-0.129663,-6.63412
182,152119,-0.122169,-6.58938
183,152470,-0.121286,-6.63238
184,152821,-0.13388,-6.6812
185,153174,-0.12695,-6.64486
186,153528,-0.124645,-6.69435
187,153882,-0.106785,-6.74577
188,154237,-0.122066,-6.65947
189,154593,-0.115158,-6.73373
190,154950,-0.120139,-6.74823
191,155307,-0.117764,-6.70327
192,155665,-0.128159,-6.75441
193,156025,-0.121764,-6.79399
194,156385,-0.113398,-6.75667
195,156746,-0.133263,-6.83017
196,157107,-0.123942,-6.88804
197,157470,-0.124745,-6.87452
198,157833,-0.118141,-6.95377
199,158197,-0.122119,-6.95177
200,158562,-0.126756,-6.93198
201,158928,-0.130924,-6.85511
202,159295,-0.124924,-7.0216
203,159663,-0.12898,-6.99102
204,160031,-0.133606,-7.08631
205,160400,-0.137327,-7.0464
206,160770,-0.135807,-7.03678
207,161141,-0.12865,-7.03462
208,161513,-0.14026,-7.0125
209,161886,-0.120983,-7.03753
210,162260,-0.123854,-7.10005
211,162634,-0.113958,-7.15756
212,163009,-0.117583,-7.10923
213,163385,-0.126159,-7.10071
214,163762,-0.128257,-7.17114
215,164140,-0.14274,-7.12128
216,164519,-0.130696,-7.26499
217,164899,-0.132558,-7.17369
218,165279,-0.131288,-7.23403
219,165661,-0.1187,-7.26953
220,166043,-0.137789,-7.3102
221,166426,-0.130773,-7.3006
222,166810,-0.137771,-7.19684
223,167195,-0.121553,-7.31505
224,167581,-0.139982,-7.32147
225,167967,-0.135657,-7.35224
226,168355,-0.150493,-7.39072
227,168744,-0.145185,-7.37227
228,169133,-0.140346,-7.42466
229,169523,-0.153318,-7.46168
230,169914,-0.150512,-7.44504
231,170307,-0.129625,-7.47427
232,170699,-0.13988,-7.50898
233,171093,-0.138999,-7.61595
234,171488,-0.129442,-7.46969
235,171884,-0.138411,-7.58585
236,172281,-0.138811,-7.56511
237,172678,-0.124636,-7.57561
238,173077,-0.140409,-7.6739
239,173476,-0.139868,-7.57876
240,173876,-0.141874,-7.63201
241,174277,-0.130563,-7.7159
242,174680,-0.153347,-7.67535
243,175083,-0.145697,-7.66602
244,175487,-0.162951,-7.72306
245,175892,-0.154194,-7.65879
246,176298,-0.136144,-7.7179
247,176704,-0.148427,-7.75892
248,177112,-0.147871,-7.65741
249,177521,-0.158803,-7.76736
250,177930,-0.152322,-7.78003
251,178341,-0.145594,-7.85915
252,178753,-0.127269,-7.84832
253,179165,-0.134156,-7.87919
254,179578,-0.149587,-7.84963
255,179993,-0.150379,-7.90879
256,180408,-0.155355,-7.82899
257,180824,-0.163363,-7.97071
258,181242,-0.155383,-7.94066
259,181660,-0.148491,-8.00532
260,182079,-0.139369,-8.12354
261,182499,-0.139734,-8.00875
262,182920,-0.160008,-8.06761
263,183343,-0.15228,-8.08853
264,183766,-0.17042,-8.14357
265,184190,-0.147053,-8.20297
266,184615,-0.15,-8.17301
267,185041,-0.155499,-8.15506
268,185468,-0.154914,-8.05577
269,185896,-0.168365,-8.23341
270,186325,-0.163899,-8.23675
271,186755,-0.159491,-8.23602
272,187186,-0.170271,-8.3495
273,187617,-0.169956,-8.31515
274,188050,-0.149827,-8.32279
275,188484,-0.162171,-8.32917
276,188919,-0.142809,-8.42635
277,189355,-0.161062,-8.46197
278,189792,-0.150296,-8.389
279,190230,-0.158178,-8.40004
280,190669,-0.163739,-8.29317
281,191109,-0.176898,-8.50099
282,191550,-0.17262,-8.48819
283,191992,-0.15967,-8.48179
284,192435,-0.161654,-8.67543
285,192879,-0.171411,-8.44
286,193324,-0.170651,-8.6258
287,193770,-0.166959,-8.54648
288,194217,-0.183238,-8.72918
289,194666,-0.158296,-8.518
290,195115,-0.175254,-8.70914
291,195565,-0.161237,-8.65533
292,196016,-0.168066,-8.69715
293,196469,-0.1602,-8.8348
294,196922,-0.155311,-8.73999
295,197376,-0.175617,-8.79825
296,197832,-0.168703,-8.7682
297,198288,-0.184252,-8.68587
298,198746,-0.179742,-8.72723
299,199205,-0.175581,-8.78234
300,199664,-0.169407,-8.85954
301,200125,-0.176089,-9.06139
302,200587,-0.157612,-8.88665
303,201050,-0.164461,-9.00043
304,201514,-0.178444,-8.92504
305,201979,-0.176656,-8.98231
306,202445,-0.182854,-9.14728
307,202912,-0.174456,-9.13627
308,203380,-0.173515,-9.00769
309,203849,-0.18255,-9.09751
310,204320,-0.155483,-9.07954
311,204791,-0.197986,-9.16882
312,205264,-0.191725,-9.09868
313,205737,-0.176149,-9.17067
314,206212,-0.191574,-9.03543
315,206688,-0.167002,-9.32815
316,207165,-0.194588,-9.16274
317,207643,-0.184025,-9.21383
318,208122,-0.187503,-9.30476
319,208602,-0.16444,-9.39444
320,209084,-0.171909,-9.26169
321,209566,-0.191323,-9.46276
322,210050,-0.182501,-9.4107
323,210535,-0.218435,-9.4395
324,211020,-0.212537,-9.53421
325,211507,-0.196584,-9.60211
326,211995,-0.183186,-9.53628
327,212485,-0.198018,-9.52405
328,212975,-0.187213,-9.38771
329,213466,-0.218885,-9.54564
330,213959,-0.1943,-9.69525
331,214453,-0.212921,-9.59667
332,214947,-0.205894,-9.60794
333,215443,-0.201783,-9.80755
334,215941,-0.198702,-9.7867
335,216439,-0.186182,-9.71076
336,216938,-0.195377,-9.75638
337,217439,-0.173823,-9.884
338,217941,-0.22039,-9.69236
339,218444,-0.189771,-9.88646
340,218948,-0.199204,-9.92435
341,219453,-0.203158,-9.89578
342,219959,-0.204378,-9.71767
343,220467,-0.226804,-9.81269
344,220976,-0.198393,-9.92204
345,221486,-0.21387,-10.032
346,221997,-0.221972,-10.008
347,222509,-0.249822,-9.9694
348,223022,-0.233785,-9.87664
349,223537,-0.240802,-10.0441
350,224053,-0.217821,-10.048
351,224570,-0.219107,-10.0134
352,225088,-0.223289,-10.2421
353,225607,-0.216439,-9.95155
354,226128,-0.200327,-10.1687
355,226650,-0.223489,-10.1737
356,227173,-0.214145,-10.2067
357,227697,-0.225183,-10.0475
358,228222,-0.215977,-10.1149
359,228749,-0.231967,-10.2758
360,229277,-0.217026,-10.3791
361,229806,-0.219135,-10.356
362,230336,-0.188715,-10.4363
363,230868,-0.224247,-10.5724
364,231401,-0.205512,-10.4507
365,231935,-0.214074,-10.4562
366,232470,-0.222731,-10.5099
367,233006,-0.23425,-10.3642
368,233544,-0.200335,-10.6058
369,234083,-0.213545,-10.5304
370,234623,-0.217207,-10.631
371,235164,-0.227268,-10.6675
372,235707,-0.22189,-10.8997
373,236251,-0.220571,-10.5789
374,236796,-0.229875,-10.8799
375,237342,-0.22492,-10.8397
376,237890,-0.235352,-10.8317
377,238439,-0.211857,-11.0231
378,238989,-0.261722,-10.8836
379,239541,-0.23448,-10.7846
380,240093,-0.233532,-11.0138
381,240648,-0.242094,-10.9712
382,241203,-0.203883,-11.0709
383,241759,-0.228571,-10.876
384,242317,-0.238861,-11.2157
385,242876,-0.239448,-11.1932
386,243437,-0.239402,-11.1596
387,243999,-0.212944,-10.9948
388,244562,-0.240278,-11.4071
389,245126,-0.226385,-11.1801
390,245692,-0.236416,-11.1809
391,246259,-0.25021,-11.3565
392,246827,-0.252618,-11.3221
393,247396,-0.25373,-11.6064
394,247967,-0.279911,-11.4776
395,248539,-0.250551,-11.5632
396,249113,-0.269015,-11.4671
397,249688,-0.258225,-11.4738
398,250264,-0.294167,-11.6583
399,250842,-0.27821,-11.7386
400,251420,-0.249492,-11.7169
401,252000,-0.247298,-11.6058
402,252582,-0.269891,-11.7102
403,253165,-0.265555,-11.9796
404,253749,-0.301853,-11.7981
405,254335,-0.291457,-11.6687
406,254921,-0.289043,-11.7467
407,255510,-0.284284,-11.8315
408,256099,-0.271295,-11.8373
409,256690,-0.292545,-12.1528
410,257283,-0.243675,-12.0036
411,257876,-0.301658,-12.0256
412,258471,-0.270172,-11.9153
413,259068,-0.275283,-12.1105
414,259666,-0.280612,-12.0859
415,260265,-0.275059,-11.8954
416,260865,-0.294803,-12.3598
417,261467,-0.303196,-12.3135
418,262071,-0.298672,-12.3105
419,262675,-0.283032,-12.3056
420,263282,-0.330296,-12.4127
421,263889,-0.296452,-12.613
422,264498,-0.264817,-12.3415
423,265108,-0.289755,-12.5892
424,265720,-0.285605,-12.4322
425,266333,-0.293535,-12.5395
426,266948,-0.29883,-12.2682
427,267564,-0.326774,-12.492
428,268181,-0.319081,-12.4794
429,268800,-0.284857,-12.7173
430,269420,-0.304798,-12.8123
431,270042,-0.308149,-12.7531
432,270665,-0.26493,-12.777
433,271290,-0.287223,-12.6894
434,271916,-0.331064,-13.0503
435,272543,-0.333814,-12.9253
436,273172,-0.317346,-13.0555
437,273803,-0.319416,-13.0123
438,274434,-0.325596,-13.3763
439,275068,-0.35048,-13.2965
440,275702,-0.32459,-12.9735
441,276339,-0.33248,-13.3485
442,276976,-0.320678,-13.2184
443,277615,-0.332974,-13.3002
444,278256,-0.318041,-13.6609
445,278898,-0.365294,-13.601
446,279542,-0.309209,-13.4282
447,280187,-0.329007,-13.3884
448,280833,-0.358135,-13.5656
449,281481,-0.34354,-13.5957
450,282131,-0.344389,-13.34
451,282782,-0.330736,-13.4778
452,283434,-0.351522,-13.5397
453,284088,-0.352001,-13.6789
454,284744,-0.372107,-13.8584
455,285401,-0.364248,-13.9321
456,286060,-0.310398,-14.0478
457,286720,-0.32277,-14.1134
458,287381,-0.393501,-14.3032
459,288044,-0.35592,-14.3141
460,288709,-0.369615,-14.1348
461,289375,-0.381205,-14.2582
462,290043,-0.425412,-14.6221
463,290712,-0.33709,-14.3959
464,291383,-0.405065,-14.7626
465,292056,-0.382803,-14.7642
466,292729,-0.40947,-14.5554
467,293405,-0.412515,-14.6906
468,294082,-0.406839,-14.79
469,294761,-0.433808,-15.2192
470,295441,-0.375299,-15.0511
471,296123,-0.460022,-15.0904
472,296806,-0.417864,-15.0012
473,297491,-0.45909,-15.3016
474,298177,-0.451057,-15.2013
475,298865,-0.433263,-14.9097
476,299555,-0.409408,-15.6285
477,300246,-0.447528,-15.2922
478,300939,-0.444634,-15.4947
479,301633,-0.473739,-15.6383
480,302329,-0.474789,-15.9222
481,303027,-0.49834,-16.0376
482,303726,-0.534207,-15.85
483,304427,-0.585035,-16.1504
484,305130,-0.568581,-16.4667
485,305834,-0.51467,-16.4084
486,306540,-0.576093,-16.6943
487,307247,-0.58811,-16.8766
488,307956,-0.644803,-16.6841
489,308666,-0.709508,-17.0299
490,309379,-0.64649,-17.1796
491,310093,-0.750024,-17.3923
